year,code,title,genre,directors,actors,story,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,59056,13 자메티,스릴러,겔라 바브루아니,게오르게 바블루아니,세바스찬(게오르기 바블루아니)은 그루지아에서 프랑스로 이민온 집안 출신으로 집수리를 해주면서 받는 돈으로 어렵게 생활을 꾸려가는 22세의 젊은이다. 어느 날 지붕 수리를 맡게된 집에서 일하면서 우연히 집주인 장 프랑스와에게 보내진 봉투를 받게된다. 봉투안에는 파리행 열차 티켓과 호텔 예약확인서가 들어있고... 우연히 집 주인이 죽어버리자 세바스찬은 그 대신 기차 티켓을 가지고 파리에 가서 지정된 호텔에 묵게된다. 호텔방에서 다음 지시를 받은 세바스찬은 지시를 받은 대로 파리 근교 작은 역으로 가게되고 결국 숲속에 있는 커다란 저택에 도착하게 된다. 저택 내부에는 이상한 분위기가 감돌고 세바스찬은 신변의 위험을 느끼며 이곳에서 도주하려 한다.   하지만 결국 도망치지 못한 그는 어쩔 수 없이 저택에서 벌어지는 기괴한 게임의 선수로 참가하게 된다. 저택 1층의 거대한 홀에서 벌어지는 게임에는 모두 13명의 선수가 참여한다. 그 게임은 총을 가진 선수들이 원형으로 둘러싼채 가운데 있는 전등이 켜지면 일제히 방아쇠를 당기는‘집단 러시안 룰렛’! 게임은 최후의 한 명이 살아남을 때까지 계속되고 최후의 생존자에게는 85만 유로의 상금이 주어진다. 홀의 주변에는 선수들에게 판돈을 건 도박사들이 마른 침을 삼키면서 관객의 역할을 한다. 푼돈이라도 벌 수있지않을까 하는 단순한 생각에서 왔던 세바스찬은 목숨을 건 게임을 시작하게 된다.   영화제 소개글. 집 수리공으로 일하고 있는 세바스찬은 매일 자살을 시도하는 집주인 앞으로 배달된 편지 한 통을 몰래 훔친다. 편지 내용은 정기적으로 열리는 특정한 게임에 참가하면 많은 돈을 벌 수 있다는 것. 가난한 가족을 부양해야 하는 그로선 이 막연한 내용에 귀가 솔깃해져 무작정 게임이 열리는 장소로 찾아간다. 결국 그는 자신의 운명이 파국으로 치닫는다는 것을 전혀 모르는 채 이상할 만큼 철저한 보안 속에서 게임에 참여하게 된다. 마치 누군가의 비참한 현실을 다큐멘터리로 보는 듯한 충격과 생생함이 오랫동안 기억에 남을 작품.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,64995,1408,공포, 스릴러,미카엘 하프스트롬,존 쿠삭, 사무엘 L. 잭슨,어린 딸을 잃은 공포소설 작가 마이크 엔슬린(존 쿠삭 분)은 ‘사후세계’라는 소재에 사로잡혀 있다. 그는 초현실적인 공포를 소설로 쓰는 베스트셀러 작가지만, 눈에 보이는 것 외에는 아무것도 믿지 않는 회의론자이다. 어느 날 그에게 날아온 낯선 엽서 “Don’t enter 1408!” (1408호에 절대 들어가지 마시오).   새로운 작품을 구상 중이던 마이크는 미스터리로 가득한 뉴욕의 돌핀 호텔을 찾는다. 호텔 지배인 제럴드 올린(사무엘 L. 잭슨 분)은 95년간 1408호에 묵은 투숙객들이 1시간을 못 넘기고 죽은 일들을 알려주며 들어가지 말라고 강력히 경고하지만 마이크는 기어코 그 방에 들어선다. 1초 앞을 예상할 수 없는 1408의 무한공격!   보이는 것 외에는 아무것도 믿지 않는 마이크의 눈 앞에서 상상을 초월한 미스터리한 현상들이 벌어지면서 현실과 환상이 넘나 들고 그 방에서 죽은 사람들의 혼령이 나타나 끊임없이 그를 위협한다. 심리적 공포와 맞서던 그에게 초강력 다이나믹한 공포의 공격이 시작되고 극도의 공포감 속에서 마이크는 1408호와의 처절한 사투를 벌인다. 살아남기 위해 주어진 시간은 단 한 시간. 1408호의 정체는 무엇인가? 과연 마이크는 살아남을 수 있을 것인가?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,61103,1번가의 기적,코미디, 드라마,윤제균,임창정, 하지원,재개발의 막중한 임무를 띠고 에쿠스를 끌며 폼 나게 1번가에 나타난 날건달, 필제. ‘천하의 나쁜 노무새끼’가 되어 피도 눈물도 없이 무대뽀로 마을 사람들을 밀어내려 단단히 맘을 먹었건만 도착한 첫날부터 맞닥뜨린 깡따구 센 여자 복서 명란을 비롯하여 예측불허의 마을 사람들로 인해 필제의 계획은 꼬이기 시작한다.   버스보다 발이 빠르고 말보다 주먹이 앞서는 명란은 몸이 불편한 아버지와 동생을 돌보면 서도 아빠에게 자랑스런 딸이 되기 위해 동양 챔피언의 꿈을 다지며 꿋꿋하게 살아간다. 이런 명란과 사사건건 엮이게 된 필제는 재개발은 커녕 명란의 뒤치닥거리 하기에 바쁘다. 엎친 데 덮친 격으로 필제가 하는 짓들이 마냥 신기하기만 한 일동, 이순 남매는 순 수함으로 필제를 제압하고, 그를 두려워하기는 커녕 일까지 시켜먹는 마을사람들로 인해 필제는 동네의 온갖 잡일을 도맡아 하게 된다. 급기야 그는 동네 아이들에게 날건달이 아닌 슈퍼맨으로  통하기에 이르는데…   ‘마을 접수’라는 애초의 목적 달성에서 점점 멀어져만 가는 필제, ‘동양챔피언’의 꿈을 향해 계속 달리는 명란, 그리고 각자의 꿈을 안고 살아가는 ‘1번가’ 사람들. 서로간의 묘한 유대감을 쌓아가면서 나아갈 수도 물러설 수도 없는 이 상황에서, 필제는 과연 임무를 완수할 수 있을 것인가?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,58447,나비 효과 2,SF, 드라마, 스릴러,존 R. 레오네티,에릭 리브리, 에리카 듀란스,일도 사랑도 무엇 하나 흠잡을 데 없이 완벽한 26살의 청년 닉 라슨(에릭 라이블리). 여자친구 줄리 밀러(에리카 듀런스)의 24번째 생일을 축하하기 위해 친구들과 함께 여행을 떠난다. 도중에 닉은 직장 상사의 전화를 받고 돌아오는 길에 사고를 일으켜 줄리와 친구들을 죽게 만들고 자신만 혼자 살아남게 된다.   사고 발생 1년 후, 아직도 자책감과 절망에서 헤어나오지 못한 채 원인을 알 수 없는 두통에 시달리며 살아가던 닉은 중요한 프리젠테이션 자리에서 머리가 깨질 듯한 두통으로 쓰러진다. 집으로 돌아온 닉은 예전 여행 때 찍은 사진을 보다가 또 다시 정신을 잃는다. 정신을 차린 그의 눈앞에 펼쳐진 것은 1년 전 친구들을 죽음으로 몰았던 그 곳, 바로 그 끔찍한 사고 직전의 순간! 그는 사고를 피하기 위해 상황을 돌려놓으려 하지만... 당신의 인생을 뒤바꿀 또 한 번의 기회. 예측할 수 없는 대단원의 결말이 기다린다!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,65666,나쁜 여자 착한 여자,드라마,이대영, 이동윤,이재룡, 최진실, 성현아,건우(이재룡)는 학회 세미나에 참석하기 위해 가족들과 사이판으로 향한다. 사이판행 비행기 안에서 건우를 발견한 서경(성현아)은 깜짝 놀라 얼굴이 굳고, 건우는 일부러 비행기 스케줄을 바꿨다며 서경과 격정적으로 입을 맞춘다. 호텔까지 서경이 묵는 곳과 같은 호텔로 바꿔버린 건우. 현지에 도착하자마자 두 사람은 의미 있는 눈빛을 교환하고, 각자의 가족들에게로 돌아간다. 한껏 들뜬 세영(최진실)은 바다 풍경에 빠져 행복해하고, 건우는 그런 세영과 가족들을 물끄러미 바라보며 생각에 잠긴다. 태욱(채진건)은 호텔에서 지우(김지우)와 운명적으로 만나고, 첫 눈에 반한다. 조카 우람(이상길)과 건우의 딸, 진아(하승리)의 대화를 엿들은 태욱은 지우가 미혼임을 확신하고 다시 만날 기대를 한다. 한편, 봉달(백일섭)은 서경에게 새 차를 선물하고, 서경은 착잡한 마음으로 시운전을 한다. 서경의 수상한 행동에 미심쩍어하던 동료 의사 소영(유서진)은 서경의 책상 옆에 떨어진 재산세 영수증을 보고는 의아해하는데...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,61701,날아라 허동구,가족, 코미디, 드라마,박규태,정진영, 최우혁,학교가 세상에서 가장 좋은 IQ 60의 11살 동구(최우혁 분)와 아들 동구가 무사히 초등학교만 졸업할 수 있다면 무엇이든 못할게 없는 천하무적 치킨집 사장 진규(정진영 분). 학교에 가면 매일 친구들 물 따라주는 일밖에 못하는 동구지만 그런 동구를 보는 진규는 마냥 행복하다. 이 단짝 부자의 공동 목표는 초등학교 무.사. 졸.업. 하지만 세상일이 어디 그리 쉬운가? 이 두 부자의 목표를 가로막는 거침없는 태클! 바로 동구가 그토록 좋아하는 학교에서 특수학교로 전학을 보내려 하는데.. 치킨을 뇌물로 먹여도, 무릎 꿇고 빌어도 안되는 애타는 상황. 과연 진규는 초등학교를 졸업하고 싶은 아들의 소망을 이뤄줄 수 있을까?    제20회 비엔나 어린이 영화제 청소년 (2008)  제37회 지포니영화제 (2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,62150,낯선 여인과의 하루,멜로/로맨스,한스 카노사,헬레나 본햄 카터, 아론 에크하트,뉴욕의 한 도시 속, 낯선 결혼식 피로연 파티장. 오직 신랑과 신부에게만 시선이 집중 되어있는 이 곳. 핑크빛 들러리 드레스를 입은 신부 들러리에게 한 남자가 샴페인을 건네며 다가오지만 “고맙지만 전 됐어요.”라며 도도하게 사양하는 이 여자. 허나 이 남자 또한 호락호락하지는 않다. “담배는 하면서 술은 싫다?”이렇게 자연스럽게 시작된 낯선(?) 두 남녀의 대화. 겉으로는 낯선 만남처럼 보이지만, 유머가 담긴 농도 짙은 대화 속에서 둘 사이에 그 무언가가 얽혀 있다는 걸 눈치 챌 수 있다.  이름 없는 이 두 남녀의 대화가 끊임없이 이어지는 가운데, 그들이 사랑했던 12년 전의 열정이 서서히 드러나기 시작한다. 각자 남편과 애인이 있지만, 이 순간의 끌림은 도저히 막을 수가 없다. 희뿌연 담배연기와 함께," 밤새도록 이어지는 비밀스럽고 유쾌한 대화. ""변호사 남편과 의사 남편은 어떻게 다르지?"""," ""어머! 군살이 붙었네."" ""피부가 전 같지 않아"," 많이 거칠어졌군.""  과거 부부였기에 가능한"," 진한 이야기를 나누는 두 사람. 결국 서로에게 이끌려 다신 돌이킬 수 없는 하룻밤을 함께 보내게 된다. ""이러면 안돼요. 지금의 남편을 사랑하니까"" 라고 말하는 여자에게  남자는 필사적으로 ‘재결합’을 호소하지만", 여자는 단호하다. 그녀는 더 이상 그가 사랑했던 예전의 여자가 아니라는 것을 돌려 말하며 지금 현재의 행복을 깨고 싶어 하지 않는다. 그렇게 단 하루뿐인 그들만의 ‘오늘’이 아슬아슬하게 지나간다. 그들은 아무 일도 없었다는 듯, 다시 평범한 일상으로 돌아갈 수 있을까?,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,63093,내 남자 길들이기,멜로/로맨스, 코미디,위테 빌란드,노라 치르너, 크리스티안 울멘,유명 축구 감독을 인생의 우상으로 두고, 축구 운동장만 봐도 피가 끓는 폴. 축구를 싫어하는 여자친구 안나를 위해 축구 사랑을 자제하고 있던 어느 날, 친구로부터 걸려 온 전화 한 통에 폴의 결심은 무너져 버린다. 지금 축구 클럽에 선수 한 명이 절실히 필요하니 고향으로 돌아와 달라는 것. 결국 안나를 속여 함께 고향으로 돌아오고 몰래 축구를 하러 다니지만, 눈치 빠른 그녀에게 들켜버렸다!   가정보다 축구가 우선이었던 축구 감독 아버지를 둔 안나는 축구에 광적으로 매달리는 남자를 용서할 수 없는데, 그녀의 남자친구 폴이 바로 그런 남자. 축구에 폴을 뺏기기 싫은 안나는 축구 때문에 뒷전으로 밀려난 여자들과 함께 축구팀을 만들어 남자들에게 내기를 제안한다. 여자팀이 이기면 남자들은 다시는 축구를 하지 말아야 하고, 남자팀이 이기면 여자들은 절대 축구에 대해 상관하지 않기로! 이 남자들을 다시 사랑스러운 내 남자의 자리로 돌려 놓기 위해 모든 수단을 동원한 그녀들의 반격은 시작 되는데…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,66578,내 남자의 여자,드라마,정을영,김희애, 김상중, 배종옥,쥬스를 갈던 은수는 지수와 통화하면서 달삼의 바람기에 대해 은근히 흉 본다. 그러다 은수는 달삼에게 전화를 걸어서는 어디에 있는지 물어보는데, 달삼은 자기가 아파트 공사현장에서 일하고 있다는 걸 더 생색을 낸다. 한편, 전화 통화를 하던 준표는 지수가 들어오자 깜짝 놀란 채로 얼른 전화를 끈다. 이에 지수는 준표가 강의 준비 때문에 신경이 예민해진 줄로만 알고 걱정이 앞선다. 날이 바뀌고, 지수는 집 앞 마당에서 조촐하게 바비큐 파티를 벌이는데, 은수는 화려한 옷을 입고 등장해 이목을 끈다. 이후 준표, 지수, 화영, 은수는 모여서 이런 저런 살아가는 이야기를 나누며 음식을 먹는다. 그러다 준표는 잠시 거실로 들어오고, 이때 화영은 준표를 따라 들어온다. 이에 놀라는 준표에게 화영은 입맞춤을 시도하고…   화영은 은수로부터 흠씬 두드려 맞은 뒤, 간통으로 고소당하고 싶냐는 말을 듣고도 너털웃음을 짓는다. 이에 은수는 화영이 준 소주를 마시며 지수를 생각해서라도 그러지 말라고 타이르지만, 화영은 오히려 자기가 준표를 가져도 되냐고 물어 은수를 어이없게 만든다. 그 자리에서 술이 취한 은수는 운전을 하다 결국 음주운전으로 단속에 걸리고 만다. 날이 바뀌고, 준표는 은수로부터 남편을 믿는 지수를 생각해서라도 화영과의 관계를 빨리 정리하라는 이야기를 듣고는 정리하겠으니 시간을 달라고 말한다. 그런가 하면 화영은 다시 은수를 만난 자리에서 솜씨 좋은 성형외과 의사인 만큼 새출발을 하라는 조언을 듣지만, 자기의 길은 자기가 알아서 한다는 말만 되풀이한다. 잠시 후 화영은 준표를 만난 자리에서 은수와 나눈 이야기를 하며 서로 애틋한 눈빛을 교환하고는…,,,,,,,,,,,,,,,,,,,,,,,,
2007,68616,내 사랑,멜로/로맨스, 코미디,이한,감우성, 최강희, 엄태웅,세상이 단 한번 눈감는 개기일식의 순간, 그들에게 찾아든 사랑의 기적! 어디로튈지 모르는 4차원여친 주원(최강희)과, 그녀를 너무 사랑해서 오히려 불안한 지하철기관사 세진(감우성), 짝사랑하는 과선배 지우(정일우)에게 “소주 한병 마실 때까지만 술 가르쳐 주세요!” 폭탄발언을 하고 만 소현 (이연희).   애딸린 홀아비 카피라이터 정석(류승룡)과 그에게 번번히 퇴짜 맞아 제대로 자존심 상하지만 그럼에도 해바라기 순애보를 멈추지 못하는 광고쟁이 수정(임정은). 지구상에 60억분의 1, 헤어진 애인을 만나기 위해 6년 만에 고국으로 돌아온 프리허그 운동가 진만(엄태웅). 내사랑에 불안하고, 내사랑으로 설레이고, 내사랑 때문에 아프고, 내사랑을 기다리는 이들에게 개기일식이 찾아온다.   평생 단 한번 보기 힘들다는 개기일식, 해와 달이 만나 온 세상이 눈을 감아 버리는 순간. 이들은 별처럼 내리는 기적의 순간을 맞이하게 되는데…,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,61699,내 생애 최악의 남자,코미디, 멜로/로맨스,손현희,염정아, 탁재훈, 윤지민,10년 우정으로 함께해온 주연(염정아)과 성태(탁재훈). 친구들 중 유일하게 노처녀로 남은 주연은 술을 마시다, 2차를 부르짖고 성태와 술김에 대형 사고(?)를 저지른다. 이로 인해 영원한 우정을 다지는 화해 주를 마시지만 사고는 또 한번 터지고, 떠밀리듯 결혼은 진행된다. 신혼의 단꿈도 잠시, 결혼식 다음날 꿈에서 그리던 완벽한 이상형이 그들 앞에 나타나는데… “나 다시, 싱글로 돌아갈래!”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,45563,내 여자의 남자친구,멜로/로맨스, 드라마,박성범,최원영, 김지유, 이정우,대한민국에서 둘째 가라면 서러운 작업남 석호(최원영). 순진무구 여대생 채영(김푸른)을 만난 순간, 작업인생 이상하게(?) 꼬이기 시작한다. 천상 작업남 석호 이미지에는 당치도 않은 필사적 친절봉사, 비굴한 눈물에도 순결을 지키려는 그녀 앞에서 석호는 점점 애만 타는데.   사실 겉모습만? 순진한 채영은 남자친구 선수(이정우)와 깊고 깊~은 사이. 하지만 이름 그대로 채영의 동갑내기 남자친구 선수 역시 넘치는 바람기를 주체 못하는 혈기왕성 카사노바다. 나이트 클럽에서 만난 완벽 S라인의 연상녀 지연(고다미)과 짜릿한 원나잇 스탠드를 갖고 그녀에게 점점 빠져들지만 지연의 주변을 맴도는 또 다른 남자.. 왠지 낯설지가 않은데..!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,63916,내니 다이어리,코미디, 드라마, 멜로/로맨스,샤리 스프링어 버먼, 로버트 풀치니,스칼릿 조핸슨, 로라 리니,한 인류학자의 현장일지를 위해 블랙베리에 종사하기를 원하는 '애니'(스칼렛 요한슨)는 엄마 그늘에서 벗어나 용돈을 벌기 위해 뉴욕 상류층 자녀를 봐주는 내니 일을 시작한다. 아이 돌보는 일이라고 해서 재미있고 편할꺼라고 생각하면 큰 오산!! 애니가 처음 만난 아이는 X가의 못 말리는 골칫덩어리 '그레이어 X'(니콜라스 리스 아트). 뉴욕 최고의 상류층답게 이 녀석의 집 또한 어마어마하다. 하루 종일 걸어도 다 볼 수 없는 방들과 죽을 때까지 신어도 남을 신발, 최고의 명품들로 가득한 옷장 속 옷가지들... 거기에 도저히 감당하기 힘든 뉴욕 정통 럭셔리 부인 '미세스 X'(로라 리니)까지 앞날이 깜깜하다.   첫날 아침부터 시작된 미세스 X의 지시. 티파니에 들러서 '미스터 X'(폴 지아매티)의 손목시계를 찾고, 네 살짜리 그레이어 X의 초등학교 입학을 위한 추천장을 챙기고, 라틴어, 프랑스어, 수영 등등 과외 시간 체크에 미세스 X의 명품 옷 크리닝까지 하루가 48시간이라 해도 부족한 상황이다. 애니는 지금 내니 생활을 하는 건지, 집사 생활을 하는 건지 도무지 알 수 없는 현실에 본격적으로 미세스 X와의 신경전을 벌이기 시작하는데...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,36746,내셔널 트레져: 비밀의 책,모험, 액션,존 터틀타웁,니콜라스 케이지, 저스틴 바사, 다이앤 크루거,링컨 대통령 암살범 존 윌커스 부스의 일기장에서 사라진 부분이 발견되면서, 벤의 고조부는 에이브러햄 링컨 암살의 공모자라는 누명을 쓰게 된다. 고조부의 무죄를 증명해야 하는 벤은 전세계에 퍼져 있는 실마리를 쫓아 파리와 런던, 미국 전역을 누빈다. 이 여행을 통해 벤과 동료들은 놀랍게도 뜻밖의 사실을 알게 되고, 세계에서 가장 귀중한 비밀의 실마리를 얻게 되는데...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,46153,내일의 기억,멜로/로맨스, 드라마,츠츠미 유키히코,와타나베 켄,광고회사에서 능력을 인정받으며 열심히 살아가는 ‘사에키’(와타나베 켄). 일에 있어서만은 완벽함을 추구하며 때론 엄격하게 때론 자상한 상사로 회사에서도 인기가 높다. 외동딸을 둔 그는 집에서는 더 없이 좋은 남편이자 아버지이다.  어느 날, 염원하던 큰 광고를 따내지만 기쁨도 잠시 자신이 점점 기억을 잃어가고 있다는 사실을 느끼게 된다. 건망증인줄만 알았던 일들이 증세가 심각해지면서 길을 잃고, 사람들의 이름 마저 잊어가게 된 것. 쏟아지는 기억들을 붙잡고 싶은 ‘사에키’는 결국 회사도 관둔 채 아내와 단둘이 지내며 자신의 변화를 받아들인다. 사랑하는 아내 ‘에미코’(히구치 카나코)는 그의 옆에서 언제나 함께 할 것을 약속한다.  시간이 흐르고, 지나간 시간만큼 기억을 잃어가는 ‘사에키’. 그는 사랑하는 사람들의 얼굴과 이름, 그리고 소중한 추억들을 기억할 수 있을까. 추억이 소중한 만큼 잊혀진다는 사실이 슬프기만 한데, 그를 지켜보는 가족과 동료들의 마음 또한 점점 아파만 간다…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,65723,넘버 23,스릴러,조엘 슈마허,짐 캐리, 버지니아 매드슨,아내로부터 넘버23이라는 제목의 소설책을 생일선물로 받게 된 월터(짐 캐리). 책을 읽을수록 점점 숫자 23의 저주로 살인을 저지르게 된 책 속 주인공과 자신의 삶을 동일시하는 망상에 사로잡힌다. 그리고 그의 머리 속에는 자꾸만 23이라는 숫자가 머리 속에 맴돌고. 23쌍으로 이루어진 인간의 체세포, 유클리드 기하학의 정의 23개, 주요테러사건 발생일의 합 23, 히로시마 원폭투하일 날짜의 합 23. 그리고, 자신이 태어난 시간의 합 23, 부인과 처음 만난 나이 23, 만난 날짜의 합 23.   세상도, 자신의 삶도 숫자 23의 법칙으로 둘러싸여 있음을 깨닫는다. 이제 책의 주인공처럼 자신도 살인을 저지를 운명이라고 믿게 된 월터는 자신의 부인을 살해하는 환상마저 보게 되고. 그의 삶을 지배하고 있는 숫자 23의 비밀을 밝혀내야만 이 모든 악몽을 끝낼 수 있을 것만 같은데.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,66402,넥스트,SF, 액션, 스릴러,리 타마호리,니콜라스 케이지, 줄리안 무어, 제시카 비엘,라스베가스의 마술사 크리스 존슨(니콜라스 케이지). 그는 2분 후의 미래를 볼 수 있는 아주 특별한 능력을 갖고 있지만, 가급적 드러내지 않고 조용히 지내려 한다. 그러던 어느 날, 카지노에서 총기강도 사건을 예견하고, 사고를 방지하려다가 도리어 총기강도 사건에 휘말린다. 한편, 그의 능력을 알아챈 FBI(줄리안 무어)는 LA에 핵폭탄이 설치된다는 정보를 입수, 이를 해결할 수 있는 사람은 크리스 뿐임을 직감한다. 겉으로는 지명수배자를 추적하는 것 같지만 사실은 핵폭발을 막기 위해 크리스를 잡으려는 FBI. 그들은 크리스가 운명이라고 믿는 리즈(제시카 비엘)를 이용해 그가 빠져나갈 수 없는 덫을 만들고, FBI와 크리스, 그리고 테러리스트는 시간의 경계를 넘나들며 어느 것이 실제이고 어느 것이 미래인지 구분되지 않는 팽팽한 두뇌게임을 시작한다.,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,61794,노리코의 식탁,공포, 드라마,소노 시온,후키이시 카즈에, 츠구미, 미츠이시 켄,가족들과의 일상적인 삶에 지친 여고생 노리코는 인터넷으로 알게 된 친구를 찾아 도쿄로 가출한다. 우에노 역에서 노리코는 구미코를 만나고 그녀와 함께 외로운 사람들의 가족을 연기해주는 대행업을 시작한다. 그 무렵 신주쿠 역에서 여고생 54인의 집단자살이 벌어지고, 노리코의 아버지가 딸을 찾아 올라오면서 점차 그들 사이의 긴장이 고조된다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,63850,눈물이 주룩주룩,드라마, 멜로/로맨스,도이 노부히로,츠마부키 사토시, 나가사와 마사미,레스토랑을 차리는 꿈을 향해 성실하게 하루하루를 지내던 21살의 요타로(츠마부키 사토시 분). 8살 난 꼬마였던 그 때, 어느 날 갑자기 '여동생'이 생겼다. 그 후 그의 생애를 희망으로 가득 채웠던 그녀가 고등학교에 입학하며 그와 한 집에 살겠다고 찾아왔다.  고등학교에 입학하며 오빠 집에서 같이 살게 된 여고생 카오루(나가사와 마사미 분). 하지만 그녀는 아무에게도 말하지 못한 비밀이 있다. 오빠는 그녀가 너무 어려서 기억하지 못할거라 믿고 있었지만, 그녀는 기억하고 있다. 그가 친오빠가 아니라는 것을.  오키나와의 눈부신 태양과 투명한 바다, 향기로운 바람, 색색깔의 꽃들. 평소 그냥 지나치던 모든 것들이 둘이 함께 하면서 더욱 아름답게 다가온다. 하지만, 하고 싶은 말을 마음 속으로만 삼키면서도 행복했던 그들의 시간을 방해하는 사건들이 벌어지는데.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,43493,눈부신 날에,드라마,박광수,박신양, 서신애,야바위 판 바람잡이를 하던 중 벌어진 싸움으로 철창신세를 지게 된 우종대. 어느 날, 선영이라는 여자가 난데 없이 종대에게 7살 된 아이가 있다는 소식을 가져온다. 종대는 아이와 몇 달간만 살아줄 것을 요구하는 그녀의 제안을 완강하게 거부하지만, 유치장에서 빼내주는데다 돈까지 주겠다는 말에 결국 묘한 동거를 수락한다. 아빠를 만난 기쁨에 하루 종일 졸졸 쫓아다니는 준이가 여간 귀찮은 게 아니지만, 종대 인생에서 단 한 번도 받아보지 못했던 사랑을 주는 준에게 종대는 서서히 마음을 열기 시작한다.   종대의 실수로 병원에 입원하게 된 준. 그리고 종대는 준이가 앞으로 살 날이 얼마 남지 않은 시한부 인생이라는 사실을 알게 된다. 뒤늦게 준이에 대한 사랑을 깨닫고 가슴 깊이 후회하는 종대. 아빠와 함께 월드컵 응원에 가고 싶다고 입버릇처럼 말한 준이의 소원을 들어주기 위해, 종대는 생애 최고의 응원전을 준비한다. 그리고 준이 역시, 아빠를 위해 세상에서 가장 눈부신 선물을 준비 하는데...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,47239,눈에게 바라는 것,드라마,네기시 키치타로,이세야 유스케, 사토 코이치, 코이즈미 쿄코,성공의 꿈을 안고 도쿄에 갔던 야자키 마나부는 사업에 실패하고 고향인 홋카이도로 한겨울에 돌아온다. 마나부의 형인 다케오는 고향에서 홋카이도 토속 썰매끌기 경주인 '바네이 경마'를 위한 축사를 운영하고 있다. 오랫동안 떨어져 지냈던 형제 사이의 골은 깊어졌고, 다케오는 마나부가 양로원에 살고 있는 어머니를 만나지 못하도록 한다. 하지만 마나부가 축사의 험난한 일상 속에서 일꾼들, 말들과 소통하는 모습을 지켜보면서 다케오는 어머니와 마나부의 만남을 허락하고, 그렇게 서서히 형제는 서로를 이해해 나간다.  일, 가정, 신뢰 등... 도쿄에서 쌓아올린 모든 꿈들을 거품경제 붕괴와 더불어 상실해 버린 주인공 마나부. 실의에 빠진 채 고향인 훗카이도로 돌아온 그는 작은 마구간을 운영하는 형의 집에 머문다. 말과 함께 생활하는 힘든 일상을 통해서 자신의 나약함과 대면하게 된 마나부는 마침내 재기를 위한 힘찬 발걸음을 내딛는다... 도쿄국제영화제에서 그랑프리를 비롯, 사상 처음으로 4개 부문을 수상한 이유를 충분히 납득할 수 있는 수작 영화.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,45779,뉴 하트,드라마,박홍균,지성, 김민정, 조재현,최강국은 환자를 서울 본 병원으로 보내고는 연구실에 들어가 혼자 돼지 심장에 혈관들을 잇는 수술 연습을 한다. 병원장 박재현은 흉부외과 가겠다는 혜석을 말리지만 혜석의 결심은 확고하다. 낚시하던 강국은 옆 사람들과 몸싸움하다 이마를 다치고, 응급실에서 은성과 처음 만난다. 강국은 환자의 엑스레이를 보다 얼굴이 굳고, 은성의 청진기를 잡아채 환자의 가슴에 대본다. 수술해야한다고 외치던 강국은 멈칫하며 환자를 서울로 보내라고 말하고, 은성은 강국이 유명한 흉부외과 의사임을 알게 된다. 은성은 강국이 환자를 살렸다는 소식에 놀라고, 흉부외과 가기로 마음을 굳힌다. 박 병원장은 최강국을 찾아가 흉부외과 과장 자리를 제안한다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,66647,뉴욕에서 온 남자, 파리에서 온 여자,멜로/로맨스, 코미디, 드라마,줄리 델피,줄리 델피, 애덤 골드버그,파리에 온 커플! 미국 男 잭(아담 골드버그)과 프랑스 女 매리온(줄리 델피).  고향에 돌아와 편안한 여자와 달리 낯선 도시 파리가 적응되지 않는 남자.  설상가상으로 가는 곳마다 마주치는 그녀의 옛 남자친구들로 그는 괴롭기만 하다.  결국, 남자는 그녀의 과거가 온통 의심스럽고 여자는 과거에 집착해 질투하고 투덜대는 그를 이해하지 못하며 둘의 갈등은 깊어만 가는데..  이들은 계속 사랑할 수 있을까?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
