year,code,title,genre,directors,actors,story,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,52745,4교시 추리영역,공포, 스릴러,이상용,유승호, 강소라,AM  11: 40 사건 발생!! 4교시 체육시간, 빈 교실에서 벌어진 살인사건, 범인을 잡지 않으면 내가 살인범이 된다! 전국 1등을 놓치지 않는 명석한 두뇌와 준수한 외모를 두루 갖춘 이른바 엄친아, 정훈! 어느 4교시 체육시간, 빈 교실을 지키던 중 평소 앙숙처럼 지내던 태규가 무참히 죽어있는 것을 발견한다! 사건의 정황, 그 전의 목격자, 동기 등 모든 것을 살펴봤을 때 살인사건의 유일한 용의자는 정훈 바로 그 자신일 수밖에 없는 절체절명의 위기에 직면하는데!! AM  11: 50 사건 진행!! “결정해! 억울한 누명을 쓰고 살인자가 되든지, 나랑 힘을 합쳐 4교시 안에 범인을 찾든지” 반에서 왕따로 낙인 찍힌 채 친구도 존재감도 없이 ‘커튼마녀’로만 기억되는 추리광, 다정! 그 4교시 체육시간, 교실에 들어왔다가 처참한 태규의 시체 앞에서 피 묻은 옷을 입은 채 당황하는 정훈을 발견한다! 사건의 정황, 그 전의 목격자, 동기 등 모든 것을 살펴봤을 때 살인사건의 유일한 용의자는 정훈뿐! 진범을 찾거나 정훈이 진범이라는 확증을 찾기 위해 추리를 시작하는 다정! 종이 울리고 다른 사람이 시체를 발견할 때까지 남은 시간은 40분! 범인은 아직 학교 안에 있다!! PM  12: 05 사건 분석!! 엉켜있던 실마리가 풀리자, 하나 둘 드러나는 진상! 빈 교실에서 살인을 저지르고 사라진 범인은… 바로 당신이야! 사립탐정을 꿈꾸는 소녀답게 그 동안 다져온 추리능력을 십분 발휘하는 다정, 중요한 순간마다 결정적인 단서를 찾아내며 살인사건을 분석해내는 정훈, 거기다 의리 빼면 시체인 단짝친구 도일의 합류로 진범을 찾기 위한 사건추리는 탄력을 받기 시작 한다!! 그리고 마지막 ‘40분’이 끝나갈 무렵, 드디어 풀릴 것 같지 않던 사건의 처참한 전모가 드러나게 되는데…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,51082,7급 공무원,액션, 코미디,신태라,김하늘, 강지환,여행사 직원으로 위장한 경력 6년차 국가정보원 요원 ‘수지’. 과거는 밝혀도 정체만은 밝힐 수 없는 직업 특성상 남친 ‘재준’에게 조차 거짓말을 밥 먹듯 하다 일방적인 이별을 통보 받는다. 말도 없이 떠나버린 재준에 대한 서운함과 괘씸함에 몸부림 치던 그녀. 3년 뒤, 청소부로 위장한 채 산업 스파이를 쫓던 중 재준과 우연히 다시 마주치게 된다! 국제 회계사가 되어 나타난 재준. 그를 보자 수지의 마음은 다시 흔들리는데…  오랜 연인 수지의 반복되는 수상한 거짓말에 지친 ‘재준’. 한국을 떠난다는 전화 한 통으로 이별을 통보하고 러시아로 유학을 떠난다. 3년 뒤 국제회계사로 신분을 위장하고 국가정보원 해외파트 소속 요원이 되어 돌아온 재준. 깨지기 일쑤, 실수 연발의 신참이지만 의욕만은 넘치는 재준은 현장투입 첫 임무로 러시아 조직을 미행하던 중 우연히 수지와 마주친다! 호텔 청소부가 되어 있는 그녀의 모습이 쇼킹하지만 애틋한 마음만은 여전한데… 속이는 게 임무, 감추는 게 직업인 그들은 '7급 공무원'.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,52526,9: 나인,애니메이션, SF, 판타지, 모험,쉐인 액커,일라이저 우드, 존 C. 레일리, 제니퍼 코넬리,과학문명의 폭주, 인간의 욕망이 극한으로 치닫자, 인류는 종말을 맞이했다. 남은 것은 황량한 폐허로 변해버린 지구. 하지만 인류의 마지막을 예견한 한 과학자에 의해 9개의 생명체가 탄생되었다. 홀로 남은 줄 알았던 9은 괴물 기계군단을 피해 살아남은 생존자 무리를 발견하게 된다. 오만한 리더 1, 4차원 발명가 2, 쌍둥이 학자 3과 4, 열혈 기술자 5, 별난 예술가 6, 풍운의 여전사 7, 행동대장 8.  타고난 운명을 따라 9은 이들과 함께 원정대를 이루어 전쟁을 치르려 한다. 하지만 성격도 가치관도 전부 다른 대원들은 좀처럼 합심하기 어렵고, 무엇보다 이들이 대항해야 할 적은 너무나도 강력하다. 도무지 이길 승산이 보이지 않는 전쟁, 그리고 원정대를 엄습해오는 두려움. 이들에게 선택은 둘 중 하나다! 맞서 싸우거나, 아니면 영영 숨어살거나. 괴물 기계군단과의 전쟁을 준비하는 인류의 마지막 희망 9. 이제 미래는 9의 손에 달려있다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,69274,C+ 탐정,드라마, 스릴러,옥사이드 팽 천,곽부성,특출하게 잘하는 것 없는 탐정 ‘아탐’의 파리만 날리던 사무실에 오랜만에 일거리가 들어온다. ‘혜심’ 이라는 여인이 자신을 죽이려는 것을 막아달라는 남자의 의뢰. 그러나 사건을 파헤칠수록 의문의 여인 주변인물들은 하나 둘씩 죽어가고, 경찰은 모두 자살로 종결한다.  하지만 이 죽음들이 연쇄살인이라 생각한 ‘아탐’은 추적을 계속하고, 죽은 사람들이 모두 담겨있는 한 장의 사진을 발견한다. 알 수 없는 누군가로부터 살해위협까지 받으면서 사진 속 인물 중 마지막 남은 생존자를 쫓던 ‘아탐’은 믿을 수 없는 비밀과 맞닥뜨리게 되는데...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,136806,SBS 특집 다큐멘터리,,서유정, 최상재,,삶의 질과 지적 욕구를 충족시켜줄 수 있는 특집 다큐멘터리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,70123,S러버,멜로/로맨스, 드라마,데이빗 맥킨지,애쉬튼 커쳐, 앤 헤이시, 마가리타 레비에바,호화로운 펜트하우스와 화려한 파티, 최상류층의 고급스러운 일상이 펼쳐지는 L.A. 베버리힐스. 귀여운 외모와 뛰어난 매너, 남다른 스타일을 갖춘 ‘니키’(애쉬튼 커쳐)는 수많은 여자들이 순식간에 빠져드는 타고난 매력의 소유자. 섹시한 미소로 파티를 누비며 새로운 파트너를 물색하던 ‘니키’는 지성과 미모, 재력을 겸비한 변호사 ‘사만다’(앤 헤이시)를 만나고, 자신에게 흠뻑 빠진 그녀의 펜트하우스에서 럭셔리하고 안락한 생활을 시작한다. 꽃과 손수 준비한 디너, 황홀한 테크닉을 동원해 ‘사만다’를 감동시키고, 한편으론 다른 여인들과 자유로운 연애를 즐기던 어느 날. 매력적인 웨이트리스 ‘헤더’(마가리타 레비에바)가 니키에게 포착된다. 자신의 달콤한 유혹에도 넘어오지 않는 그녀에게 니키는 서서히 끌리고, 작업은 하되 사랑은 하지 않겠다는 그 만의 법칙이 흔들리기 시작하는데…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,83239,To LOVE루 -트러블-,애니메이션, 멜로/로맨스,카토 타카오,와타나베 아케노, 토마츠 하루카,평범하고 순진한 고등학생 리토. 그런 그에게 어느날 미모의 소녀 라라가 갑자기 나타나면서 평온했던 그의 일상은 순식간에 180도 바뀌게 된다. 우주 데빌루크 별의 왕녀인 라라는 세상물정을 전혀 모른채 다른 시선을 개의치 않고 리토를 끌어안거나 샤워도중 뛰쳐나가는 등 갖가지 사건을 벌이게 되는데... 한편 리토에게는 중학교 시절부터 좋아해온 동급생 소녀 하루나가 있어 자신의 마음을 전하지 못한채 늘 속앓이를 해오고 있었다. 점점 라라에게 마음이 기울면서 하루나와의 미묘한 삼각관계가 심화되는 리토. 이들의 발랄한 러브코미디가 화려한 영상속에 펼쳐지는 투러브 트러블!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,51249,가필드 - 마법의 샘물,애니메이션,마크 A.Z. 디페, 한언덕,프랭크 웰커, 그렉 버거, 그렉 이글스,‘큰웃음 대회’에서 매년 우승을 차지하며 잔뜩 거만해진 고양이 '가필드'. 엇! 그런데 이게 왠 일?! 더 이상 가필드의 유머에 사람들이 웃지 않게 된 것!! 여기에 엎친데 덮친 격으로 여친 ‘알린’까지 제멋대로인 가필드 대신 다른 대회 파트너를 찾는다. 완전 충격 먹은 우리의 가필드는 절친 '오디'와 함께 한 모금이면 '큰 웃음' 빵 터지게 해준다는 '마법의 샘물'을 찾아 신비의 숲으로 모험을 떠나게 된다. 과연 우리의 못말리는 뚱보 고양이 가필드는 잃어버린 웃음을 되찾고 여친 ‘알린’의 사랑과 ‘큰웃음 대회’ 1위의 영광을 차지할 수 있을까?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,44916,감자 심포니,코미디, 액션, 드라마,전용택,전용택, 유오성, 이규회,형과 부모를 사고로 잃은 후 몇 년간 자취를 감췄던 전설적인 주먹 백이가 어린 딸과 함께 고향에 돌아온다. 지역 마피아의 보스이자 고등학교 시절 백이의 주먹 라이벌이었던 진한(유오성 분)은 자신을 퇴학시켰던 학교에 장학금을 기증함으로써 전국적인 유명인사가 되어있다. 학생시절 백이와 함께 주먹 좀 쓰며 돌아다니던 친구들은 사라졌던 친구의 귀향을 온 맘으로 반기지만 이들의 만남이 깊어질수록 자신들의 청춘을 가위눌렀던 공통의 기억들이 신음처럼 터져나온다.  약속을 어기고 떼거지로 몰려나와 백이와 친구들을 무릎 꿇렸던 진한 같은 인간이 대접받고 잘 나가는 세상, 지나간 과거를 돌아보며 살기를 거부하는 백이, 더 이상 리더로서의 책임감을 보이지 않는 백이에게 실망하는 친구들, 백이가 사랑하는 치명적인 매력의 여자, 이 여자가 끌어안는 세상의 법칙. 그리고 전국구 조폭과의 갈등에 휘말리는 진한.  아늑한 자연의 품에 안긴 강원도의 카지노 마을엔 치명적 정념의 드라마가 기지개를 켠다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,84269,강심장,,박상혁, 장석진, 이환진,신동엽, 이동욱, 강호동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,54359,거기엔 래퍼가 없다,드라마,이리에 유우,카미스즈키 하쿠슈, 코마키네 류스케, 미즈사와 신고,올해 일본 자주영화의 놀라운 성과. 일본 사이타마의 한적한 마을에 래퍼를 꿈꾸는 한심한 친구들이 있다. 스트립 바의 청소부로 일하는 톰, 집안의 브로콜리 농사일을 돕는 마이티, 백수 잇쿠. 그들은 무엇을 꿈꾸고 어떻게 좌절하는가? 현재를 살아가는 젊은 청춘들이라면 누구나 공감할 이름 없는 청춘들의 성장기, 또는 그들의 눈물겨운 래퍼 도전기.  (부천국제판타스틱영화제) 2009 유바리국제판타스틱영화제 그랑프리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,49483,거북이 달린다,범죄, 코미디, 액션, 드라마,이연우,김윤석, 정경호, 견미리,하는 일이라곤 지역 발전을 위한 소싸움 대회 준비뿐인 시골마을 예산의 형사 조필성. 다섯 살 연상의 마누라 앞에서는 기 한번 못 펴는 한심한 남편이지만, 딸래미의 학교 일일교사 1순위로 꼽힐 정도로 마을에서는 나름 알아주는 형사다. 소싸움 대회를 준비하던 필성은 강력한 우승후보에 대한 정보를 입수하고, 훔쳐 나온 마누라의 쌈짓돈으로 결국 큰 돈을 따게 된다. 난생처음 마누라 앞에서 큰소리 칠 생각에 목이 메이는 조필성. 그러나 기쁨도 잠시! 갑자기 나타난 어린 놈에게 순식간에 돈을 빼앗기고 마는데, 그 놈은 바로 몇 년 전 전국을 떠들썩하게 만들었다가 행방이 묘연해진 탈주범 송기태.  희대의 탈주범을 눈 앞에서 놓친 필성은 모두에게 그 사실을 알리지만 이런 시골마을에 송기태가 나타났다는 그의 말을 아무도 믿지 않는다. 잃어버린 돈도 찾고, 딸래미 앞에서 영웅이 되고 싶은 마음에 직접 송기태의 은신처를 찾아 덮치지만 이번에는 송기태에게 새끼손가락까지 잘리는 수모를 당한다. 게다가 이 날의 사건이 언론에 공개되자, 예산서 형사들은 탈주범을 놓친 무능한 시골형사로 전락하고 필성은 형사직에서 물러나게 된다.  돈, 명예, 그리고 마지막 자존심까지 빼앗긴 필성. 그 놈을 반드시 자신의 손으로 잡아 형사로서, 그리고 한 남자로서의 명예회복을 위해 본격적으로 나서는데…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,50749,걸어도 걸어도,가족, 드라마,고레에다 히로카즈,키키 키린, 아베 히로시, 나츠카와 유이,햇볕이 따갑던 어느 여름 날, 바다에 놀러 간 준페이는 물에 빠진 어린 소년 요시오를 구하기 위해 바다에 뛰어 든다. 그로부터 10여 년 후. 각자 가정을 꾸린 준페이의 동생들 료타와 지나미는 매년 여름 가족들과 함께 고향집으로 향한다. 다시 올 수 없는 단 한 사람, 준페이를 기리기 위해… 그리고 그 자리에 초대받는 또 한 사람, 요시오 역시 매년 준페이의 집을 방문한다. 그 해 여름 역시 준페이의 기일을 맞아 모인 가족들로 왁자지껄한 하루가 흘러갈 무렵… 요시오, 그만 와도 되지 않아요? 차남 료타는 어머니에게 이제 그만 요시오를 놓아줘도 되지 않냐는 말을 넌지시 건네고, 엄마는 그런 료타의 질문에 지난 10여 년간 숨겨왔던 진심을 쏟아내는데…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
